"","season","race","sport","major","count"
"90","2010","African-American","Football","human relations",1
"91","2010","African-American","Mens Basketball","communication",1
"92","2010","African-American","Mens Basketball","human relations",1
"93","2010","African-American","Mens Basketball","international studies",1
"94","2010","African-American","Mens Basketball","multidisciplinary studies",1
"95","2010","Caucasian","Football","finance",1
"96","2010","Caucasian","Football","multidisciplinary studies",1
"97","2010","Caucasian","Football","social studies",1
"98","2010","Caucasian","Mens Basketball","finance",1
"99","2010","Caucasian","Mens Basketball","mechanical engineering",1
"100","2010","Mixed-Race","Football","sociology",1
"101","2011","African-American","Football","business management",1
"102","2011","African-American","Football","exercise science",1
"103","2011","African-American","Football","pre-broadcasting",1
"104","2011","Caucasian","Football","communication",1
"105","2011","Caucasian","Football","planned program",1
"106","2011","Caucasian","Football","undecided",1
"107","2011","Caucasian","Mens Basketball","human relations",1
"108","2011","Caucasian","Mens Basketball","undecided",1
"109","2011","Native American","Football","undisclosed",1
"110","2011","No Photo","Football","undisclosed",1
"111","2012","African-American","Mens Basketball","communication",1
"112","2012","African-American","Mens Basketball","information studies",1
"113","2012","Caucasian","Mens Basketball","business management",1
"114","2012","Mixed-Race","Football","undecided",1
"115","2013","African-American","Football","computer engineering ",1
"116","2013","African-American","Football","exercise science",1
"117","2013","African-American","Football","finance",1
"118","2013","African-American","Football","planned program",1
"119","2013","African-American","Football","political science",1
"120","2013","African-American","Football","pre-pharmacy",1
"121","2013","African-American","Football","undecided",1
"122","2013","African-American","Mens Basketball","administrative leadership",1
"123","2013","African-American","Mens Basketball","communication",1
"124","2013","African-American","Mens Basketball","international studies",1
"125","2013","Caucasian","Football","energy management",1
"126","2013","Caucasian","Football","exercise science",1
"127","2013","Caucasian","Football","finance",1
"128","2013","Caucasian","Football","multidisciplinary studies",1
"129","2013","Caucasian","Football","petroleum engineering",1
"130","2013","Caucasian","Football","sociology",1
"131","2013","Caucasian","Mens Basketball","multidisciplinary studies",1
"132","2013","Caucasian","Mens Basketball","undecided",1
"133","2013","Mixed-Race","Football","undisclosed",1
"134","2013","Pacific Islander","Football","human relations",1
"135","2013","Pacific Islander","Football","undisclosed",1
"136","2014","African-American","Mens Basketball","art",1
"137","2014","African-American","Mens Basketball","business management",1
"138","2014","African-American","Mens Basketball","human relations",1
"139","2014","African-American","Mens Basketball","undisclosed",1
"140","2014","Caucasian","Mens Basketball","biochemistry",1
"141","2014","Caucasian","Mens Basketball","business management",1
"142","2014","Caucasian","Mens Basketball","exercise science",1
"143","2014","Caucasian","Mens Basketball","journalism",1
"144","2014","Caucasian","Mens Basketball","sport psychology",1
"145","2014","Mixed-Race","Mens Basketball","undisclosed",1
