,hometown,longitude,latitude
389,"Fajardo, Puerto Rico",-65.6523838,18.3257869
390,"Fall River, MA, USA",-71.1550451,41.7014912
391,"Falls Church, VA, USA",-77.1710914,38.882334
392,"Falls County, TX, USA",-97.0068393,31.1636412
393,"Fanwood, NJ, USA",-74.383484,40.6409358
394,"Far Rockaway, NY, USA",-73.7448437,40.5998931
395,"Farmington, KY, USA",-88.5280511,36.6696494
396,"Farnham, United Kingdom",-0.798802,51.214321
397,"Fayetteville, NC, USA",-78.8783585,35.0526641
398,"Ferriday, LA, USA",-91.5545649,31.6301664
399,"Findlay, OH, USA",-83.6499321,41.04422
400,"Fitzgerald, GA, USA",-83.2526545,31.7149082
401,"Flint, MI, USA",-83.6874562,43.0125274
402,"Flora, MS, USA",-90.3092574,32.5431957
403,"Floral Park, NY, USA",-73.7048532,40.7237133
404,"Floydada, TX, USA",-101.3376574,33.9845232
405,"Flushing, NY, USA",-73.8330844,40.7658085
406,"Fond du Lac, WI, USA",-88.4470508,43.7730448
407,"Ford City, PA, USA",-79.5297673,40.7722865
408,"Fordyce, AR, USA",-92.4129303,33.8137161
409,"Fort Lauderdale, FL, USA",-80.1433786,26.1223084
410,"Fort Madison, IA, USA",-91.314535,40.6297634
411,"Fort Myers, FL, USA",-81.8723084,26.640628
412,"Fort Ord, CA, USA",-121.7705316,36.6208545
413,"Fort Pierce, FL, USA",-80.3256056,27.4467056
414,"Fort Rucker, AL, USA",-85.715143,31.343401
415,"Fort Scott, KS, USA",-94.7082951,37.8397626
416,"Fort Smith, AR, USA",-94.3985475,35.3859242
417,"Fort Valley, GA, USA",-83.8874084,32.5537585
418,"Fort Walton, FL, USA",-86.6170308,30.4200708
419,"Fort Washington, MD, USA",-77.0230313,38.7073379
420,"Fort Wayne, IN, USA",-85.1393513,41.079273
421,"Fort Worth, TX, USA",-97.3208496,32.725409
422,"Fountain Valley, CA, USA",-117.9536697,33.7091847
423,"Framingham, MA, USA",-71.4161565,42.279286
424,"Frankfurt, Germany",8.6821267,50.1109221
425,"Franklin, IN, USA",-86.0549863,39.4806055
426,"Franklinton, NC, USA",-78.4580543,36.1018163
427,"Frederick, MD, USA",-77.4105409,39.4142688
428,"Fredericksburg, VA, USA",-77.4605399,38.3031837
429,"Freehold, NJ, USA",-74.286293,40.232632
430,"Freeport, IL, USA",-89.6212271,42.2966861
431,"French Camp, CA, USA",-121.2710555,37.8840922
432,"Fresno, CA, USA",-119.7725868,36.7468422
433,"Friendswood, TX, USA",-95.2010447,29.5293998
434,"Ft. Lauderdale, FL, USA",-80.1433786,26.1223084
435,"Fulda, MN, USA",-95.6002856,43.8705185
436,"Fullerton, CA, USA",-117.925338,33.8702923
437,"Gadsden, AL, USA",-86.0066386,34.014264
438,"Gainesville, FL, USA",-82.3248262,29.6516344
439,"Gainesville, GA, USA",-83.8240663,34.2978794
440,"Galveston, TX, USA",-94.7976958,29.3013479
441,"Gardena, CA, USA",-118.3089624,33.8883487
442,"Garland, TX, USA",-96.6388833,32.912624
443,"Garrisonville, VA, USA",-77.4266496,38.4826237
444,"Gary, IN, USA",-87.3464271,41.5933696
445,"Gastonia, NC, USA",-81.1873005,35.262082
