"","label","fillColor","player","birthdate","hometown","latitude","longitude","iframe_url","years","mpg","ppg","fg","rpg","apg","pt3","ft","popup"
"11","b","#0000bf","Dominique Wilkins","12-Jan-60","Paris, France",48.856614,2.3572219,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dominique Wilkins+NBA",15,35.5,24.8,46.1,6.7,2.5,31.9,81.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dominique Wilkins</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dominique Wilkins+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Paris, France<br>Years: 15<br>PPG: 24.8<br>MPG: 35.5<br>FG: 46.1<br>APG: 2.5<br>RPG: 6.7<br>3PT Percentage: 31.9<br>FT Percentage: 81.1</td></tr></table>"
"12","b","#0000bf","George Mikan","18-Jun-24","Joliet, IL, USA",41.525031,-88.0717251,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George Mikan+NBA",7,34.4,23.1,40.4,13.4,2.8,NA,78.2,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>George Mikan</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George Mikan+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Joliet, IL, USA<br>Years: 7<br>PPG: 23.1<br>MPG: 34.4<br>FG: 40.4<br>APG: 2.8<br>RPG: 13.4<br>3PT Percentage: NA<br>FT Percentage: 78.2</td></tr></table>"
"13","b","#0000bf","David Thompson","13-Jul-54","Shelby, NC, USA",35.2923513,-81.5356463,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=David Thompson+NBA",9,32.8,22.7,50.5,4.1,3.3,25.5,78.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>David Thompson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=David Thompson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Shelby, NC, USA<br>Years: 9<br>PPG: 22.7<br>MPG: 32.8<br>FG: 50.5<br>APG: 3.3<br>RPG: 4.1<br>3PT Percentage: 25.5<br>FT Percentage: 78.1</td></tr></table>"
"14","b","#0000bf","Larry Bird","7-Dec-56","West Baden, IN, USA",38.5653318,-86.6111026,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Larry Bird+NBA",13,38.4,24.3,49.6,10,6.3,37.6,88.6,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Larry Bird</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Larry Bird+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: West Baden, IN, USA<br>Years: 13<br>PPG: 24.3<br>MPG: 38.4<br>FG: 49.6<br>APG: 6.3<br>RPG: 10<br>3PT Percentage: 37.6<br>FT Percentage: 88.6</td></tr></table>"
"15","b","#0000bf","Dirk Nowitzki","19-Jun-78","Wurzburg, Germany",49.7915953,9.9535715,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dirk Nowitzki+NBA",15,36.1,22.6,47.5,8.2,2.6,38.1,87.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dirk Nowitzki</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dirk Nowitzki+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Wurzburg, Germany<br>Years: 15<br>PPG: 22.6<br>MPG: 36.1<br>FG: 47.5<br>APG: 2.6<br>RPG: 8.2<br>3PT Percentage: 38.1<br>FT Percentage: 87.7</td></tr></table>"
"16","b","#0000bf","Kareem Abdul-Jabbar","16-Apr-47","New York, NY, USA",40.7143528,-74.0034731,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kareem Abdul-Jabbar+NBA",20,36.8,24.6,55.9,11.2,3.6,5.6,72.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kareem Abdul-Jabbar</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kareem Abdul-Jabbar+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: New York, NY, USA<br>Years: 20<br>PPG: 24.6<br>MPG: 36.8<br>FG: 55.9<br>APG: 3.6<br>RPG: 11.2<br>3PT Percentage: 5.6<br>FT Percentage: 72.1</td></tr></table>"
"17","b","#0000bf","Oscar Robertson","24-Nov-38","Charlotte, TN, USA",36.1772797,-87.3397319,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Oscar Robertson+NBA",14,42.2,25.7,48.5,7.5,9.5,NA,83.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Oscar Robertson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Oscar Robertson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Charlotte, TN, USA<br>Years: 14<br>PPG: 25.7<br>MPG: 42.2<br>FG: 48.5<br>APG: 9.5<br>RPG: 7.5<br>3PT Percentage: NA<br>FT Percentage: 83.8</td></tr></table>"
"18","b","#0000bf","Karl Malone","24-Jul-63","Summerfield, LA, USA",32.9126429,-92.8293247,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Karl Malone+NBA",19,37.2,25,51.6,10.1,3.6,27.4,74.2,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Karl Malone</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Karl Malone+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Summerfield, LA, USA<br>Years: 19<br>PPG: 25<br>MPG: 37.2<br>FG: 51.6<br>APG: 3.6<br>RPG: 10.1<br>3PT Percentage: 27.4<br>FT Percentage: 74.2</td></tr></table>"
"19","b","#0000bf","Carmelo Anthony","29-May-84","New York, NY, USA",40.7143528,-74.0017731,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Carmelo Anthony+NBA",10,36.3,25,45.6,6.4,3.1,33.4,80.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Carmelo Anthony</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Carmelo Anthony+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: New York, NY, USA<br>Years: 10<br>PPG: 25<br>MPG: 36.3<br>FG: 45.6<br>APG: 3.1<br>RPG: 6.4<br>3PT Percentage: 33.4<br>FT Percentage: 80.8</td></tr></table>"
"20","b","#0000bf","Shaquille O'Neal","6-Mar-72","Newark, NJ, USA",40.735657,-74.1603667,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Shaquille O'Neal+NBA",19,34.7,23.7,58.2,10.9,2.5,4.5,52.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Shaquille O'Neal</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Shaquille O'Neal+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Newark, NJ, USA<br>Years: 19<br>PPG: 23.7<br>MPG: 34.7<br>FG: 58.2<br>APG: 2.5<br>RPG: 10.9<br>3PT Percentage: 4.5<br>FT Percentage: 52.7</td></tr></table>"
"21","b","#0000bf","Rick Barry","28-Mar-44","Elizabeth, NJ, USA",40.6639916,-74.1807006,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rick Barry+NBA",14,37.4,24.8,45.6,6.7,4.9,29.7,89.3,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Rick Barry</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Rick Barry+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Elizabeth, NJ, USA<br>Years: 14<br>PPG: 24.8<br>MPG: 37.4<br>FG: 45.6<br>APG: 4.9<br>RPG: 6.7<br>3PT Percentage: 29.7<br>FT Percentage: 89.3</td></tr></table>"
"22","b","#0000bf","Kobe Bryant","23-Aug-78","Philadelphia, PA, USA",39.952335,-75.121789,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kobe Bryant+NBA",17,36.6,25.5,45.4,5.3,4.8,33.6,83.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kobe Bryant</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kobe Bryant+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Philadelphia, PA, USA<br>Years: 17<br>PPG: 25.5<br>MPG: 36.6<br>FG: 45.4<br>APG: 4.8<br>RPG: 5.3<br>3PT Percentage: 33.6<br>FT Percentage: 83.8</td></tr></table>"
"23","b","#0000bf","Dwyane Wade","17-Jan-82","Chicago, IL, USA",41.8781136,-87.6463982,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dwyane Wade+NBA",10,36.9,24.7,48.9,5.1,6.1,28.9,76.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Dwyane Wade</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Dwyane Wade+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Chicago, IL, USA<br>Years: 10<br>PPG: 24.7<br>MPG: 36.9<br>FG: 48.9<br>APG: 6.1<br>RPG: 5.1<br>3PT Percentage: 28.9<br>FT Percentage: 76.7</td></tr></table>"
"24","b","#0000bf","Adrian Dantley","28-Feb-56","Washington, DC, USA",38.9072309,-76.9794641,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Adrian Dantley+NBA",15,35.8,24.3,54,5.7,3,17.1,81.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Adrian Dantley</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Adrian Dantley+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Washington, DC, USA<br>Years: 15<br>PPG: 24.3<br>MPG: 35.8<br>FG: 54<br>APG: 3<br>RPG: 5.7<br>3PT Percentage: 17.1<br>FT Percentage: 81.8</td></tr></table>"
"25","b","#0000bf","George Gervin","27-Apr-52","Detroit, MI, USA",42.328827,-83.0531538,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George Gervin+NBA",14,33.6,25.1,50.4,5.3,2.6,27.1,84.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>George Gervin</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=George Gervin+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Detroit, MI, USA<br>Years: 14<br>PPG: 25.1<br>MPG: 33.6<br>FG: 50.4<br>APG: 2.6<br>RPG: 5.3<br>3PT Percentage: 27.1<br>FT Percentage: 84.1</td></tr></table>"
"26","b","#0000bf","Julius Erving","22-Feb-50","Roosevelt, NY, USA",40.678713,-73.5890168,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Julius Erving+NBA",16,36.4,24.2,50.6,8.5,4.2,29.8,77.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Julius Erving</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Julius Erving+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Roosevelt, NY, USA<br>Years: 16<br>PPG: 24.2<br>MPG: 36.4<br>FG: 50.6<br>APG: 4.2<br>RPG: 8.5<br>3PT Percentage: 29.8<br>FT Percentage: 77.7</td></tr></table>"
"27","b","#0000bf","Pete Maravich","22-Jun-47","Aliquippa, PA, USA",40.615537,-80.2621852,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Pete Maravich+NBA",10,37,24.2,44.1,4.2,5.4,66.7,82,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Pete Maravich</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Pete Maravich+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Aliquippa, PA, USA<br>Years: 10<br>PPG: 24.2<br>MPG: 37<br>FG: 44.1<br>APG: 5.4<br>RPG: 4.2<br>3PT Percentage: 66.7<br>FT Percentage: 82</td></tr></table>"
"28","c","#036c26","Bob McAdoo","25-Sep-51","Greensboro, NC, USA",36.0726354,-79.7719754,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob McAdoo+NBA",14,33.2,22.1,50.3,9.4,2.3,8.1,75.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Bob McAdoo</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Bob McAdoo+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Greensboro, NC, USA<br>Years: 14<br>PPG: 22.1<br>MPG: 33.2<br>FG: 50.3<br>APG: 2.3<br>RPG: 9.4<br>3PT Percentage: 8.1<br>FT Percentage: 75.4</td></tr></table>"
"29","c","#036c26","Darel Carrier","26-Oct-40","Warren County, KY, USA",36.9886043,-86.4996546,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Darel Carrier+NBA",6,35.3,20,41.7,3.4,2.6,37.7,85.1,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Darel Carrier</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Darel Carrier+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Warren County, KY, USA<br>Years: 6<br>PPG: 20<br>MPG: 35.3<br>FG: 41.7<br>APG: 2.6<br>RPG: 3.4<br>3PT Percentage: 37.7<br>FT Percentage: 85.1</td></tr></table>"
"30","c","#036c26","Ray Allen","20-Jul-75","Merced, CA, USA",37.3021632,-120.4829677,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ray Allen+NBA",17,36.2,19.4,45.2,4.1,3.4,40.1,89.4,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Ray Allen</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Ray Allen+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Merced, CA, USA<br>Years: 17<br>PPG: 19.4<br>MPG: 36.2<br>FG: 45.2<br>APG: 3.4<br>RPG: 4.1<br>3PT Percentage: 40.1<br>FT Percentage: 89.4</td></tr></table>"
"31","c","#036c26","Brad Daugherty","19-Oct-65","Black Mountain, NC, USA",35.6178951,-82.3212302,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Brad Daugherty+NBA",8,36.5,19,53.2,9.5,3.7,14.3,74.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Brad Daugherty</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Brad Daugherty+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Black Mountain, NC, USA<br>Years: 8<br>PPG: 19<br>MPG: 36.5<br>FG: 53.2<br>APG: 3.7<br>RPG: 9.5<br>3PT Percentage: 14.3<br>FT Percentage: 74.7</td></tr></table>"
"32","c","#036c26","Michael Redd","24-Aug-79","Columbus, OH, USA",39.9611755,-82.9947942,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Michael Redd+NBA",12,32,19,44.7,3.8,2.1,38,83.8,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Michael Redd</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Michael Redd+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Columbus, OH, USA<br>Years: 12<br>PPG: 19<br>MPG: 32<br>FG: 44.7<br>APG: 2.1<br>RPG: 3.8<br>3PT Percentage: 38<br>FT Percentage: 83.8</td></tr></table>"
"33","c","#036c26","Paul Pierce","13-Oct-77","Oakland, CA, USA",37.8043637,-122.2561137,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Paul Pierce+NBA",15,36.6,21.8,44.7,6,3.9,37,80.6,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Paul Pierce</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Paul Pierce+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Oakland, CA, USA<br>Years: 15<br>PPG: 21.8<br>MPG: 36.6<br>FG: 44.7<br>APG: 3.9<br>RPG: 6<br>3PT Percentage: 37<br>FT Percentage: 80.6</td></tr></table>"
"34","c","#036c26","Mike Mitchell","1-Jan-56","Atlanta, GA, USA",33.7489954,-84.3859824,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Mike Mitchell+NBA",10,32.3,19.8,49.3,5.6,1.3,21.6,77.9,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Mike Mitchell</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Mike Mitchell+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Atlanta, GA, USA<br>Years: 10<br>PPG: 19.8<br>MPG: 32.3<br>FG: 49.3<br>APG: 1.3<br>RPG: 5.6<br>3PT Percentage: 21.6<br>FT Percentage: 77.9</td></tr></table>"
"35","c","#036c26","Yao Ming","12-Sep-80","Shanghai, China",31.230416,121.473701,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Yao Ming+NBA",8,32.5,19,52.4,9.2,1.6,20,83.3,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Yao Ming</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Yao Ming+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Shanghai, China<br>Years: 8<br>PPG: 19<br>MPG: 32.5<br>FG: 52.4<br>APG: 1.6<br>RPG: 9.2<br>3PT Percentage: 20<br>FT Percentage: 83.3</td></tr></table>"
"36","c","#036c26","Kevin Garnett","19-May-76","Mauldin, SC, USA",34.77873,-82.310119,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kevin Garnett+NBA",18,36.1,19.1,49.8,10.5,3.9,27.9,79,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Kevin Garnett</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Kevin Garnett+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Mauldin, SC, USA<br>Years: 18<br>PPG: 19.1<br>MPG: 36.1<br>FG: 49.8<br>APG: 3.9<br>RPG: 10.5<br>3PT Percentage: 27.9<br>FT Percentage: 79</td></tr></table>"
"37","c","#036c26","Clark Kellogg","2-Jul-61","Cleveland, OH, USA",41.4994954,-81.6794088,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Clark Kellogg+NBA",5,32.7,18.9,49.7,9.5,2.9,33.8,75.7,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Clark Kellogg</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Clark Kellogg+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Cleveland, OH, USA<br>Years: 5<br>PPG: 18.9<br>MPG: 32.7<br>FG: 49.7<br>APG: 2.9<br>RPG: 9.5<br>3PT Percentage: 33.8<br>FT Percentage: 75.7</td></tr></table>"
"38","c","#036c26","Glenn Robinson","10-Jan-73","Gary, IN, USA",41.5933696,-87.3434271,"http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Glenn Robinson+NBA",11,36.8,20.7,45.9,6.1,2.7,34,82,"<table cellpadding='3' style='line-height:1.25'><tr><th colspan='2.5'>Glenn Robinson</th></tr><tr><td><iframe src='http://nflcombineresults.com/testembed2.php#advanced/search-advanced-query=Glenn Robinson+NBA' height='200' width='140'></iframe></td><td align='left'>Hometown: Gary, IN, USA<br>Years: 11<br>PPG: 20.7<br>MPG: 36.8<br>FG: 45.9<br>APG: 2.7<br>RPG: 6.1<br>3PT Percentage: 34<br>FT Percentage: 82</td></tr></table>"
