"","player_id","actual_name","twitter_handle","birthplace","position","height","height_inches","feet","inches","weight","shooting_hand","college","high_school","draft_team","draft_position","overall_pick","draft_round","round_pick","nba_debut","experience","nba_years","birthdate","birthyear","age","exact_age","birthcity","birthstate","birthcountry","high_school_location","high_school_city","high_school_state","numbers","contract_terms","teams_colors","player_url","scrape_date","high_school_longitude","high_school_latitude","birth_longitude","birth_latitude"
"11","howardw01","Dwight David Howard","@DwightHoward","Atlanta, Georgia","Center-Power Forward","6'11",83,6,11,240,"Right","","Southwest Atlanta Christian Academy","Orlando Magic","1st round 1st pick 1st overall",1,1,1,"11/3/04","9 years",9,"12/8/85",1985,27,"27y 0m 364d 6H 0M 0S","Atlanta","Georgia","USA","Atlanta, Georgia","Atlanta","Georgia","12;12;12","Signed July 13, 2013 for an assumed $87,591,270 for 4 years.  2016-17 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2005-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2013-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2014","http://www.basketball-reference.com/players/h/howardw01.html","12/7/13 15:54",-84.3879824,33.7489954,-84.3879824,33.7489954
"12","hilljo01","Jordan Craig Hill","@jordanchill43","Atlanta, Georgia","Power Forward-Center","6'10",82,6,10,235,"Right","University of Arizona","The Patterson School","New York Knicks","1st round 8th pick 8th overall",8,1,8,"10/28/09","4 years",4,"7/27/87",1987,26,"26y 0m 133d 12H 0M 0S","Atlanta","Georgia","USA","Patterson, North Carolina","Patterson","North Carolina","43;27;27","Signed July 25, 2012 for an assumed $7,127,200 for 2 years.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2010-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2010-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2012-2014","http://www.basketball-reference.com/players/h/hilljo01.html","12/7/13 15:54",-81.5639876,35.9992972,-84.3879824,33.7489954
"13","hicksjj01","James Edward Hickson","@JJHickson31","Atlanta, Georgia","Power Forward-Center","6'9",81,6,9,242,"Right","North Carolina State University","Wheeler","Cleveland Cavaliers","1st round 19th pick 19th overall",19,1,19,"10/30/08","5 years",5,"9/4/88",1988,25,"25y 0m 93d 18H 0M 0S","Atlanta","Georgia","USA","Marietta, Georgia","Marietta","Georgia","21;21;31;21;7","","poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#8b7500;-Cleveland Cavaliers, 2009-2010-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2011-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2012-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2012-2013-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2014","http://www.basketball-reference.com/players/h/hicksjj01.html","12/7/13 15:54",-84.5499327,33.952602,-84.3879824,33.7489954
"14","favorde01","Derrick Bernard Favors","@dfavors14","Atlanta, Georgia","Power Forward","6'10",82,6,10,246,"Right","Georgia Institute of Technology","South Atlanta","New Jersey Nets","1st round 3rd pick 3rd overall",3,1,3,"10/27/10","3 years",3,"7/15/91",1991,22,"22y 0m 145d 12H 0M 0S","Atlanta","Georgia","USA","Atlanta, Georgia","Atlanta","Georgia","14;15","Signed July 15, 2010.  Team Option for 2012-13 was picked up on June 29, 2011.  Team Option for 2013-14 was picked up on October 26, 2012.  2014-15, 2015-16, 2016-17 and 2017-18 each have up to $1,100,000 in unlikely incentives not included in Cap Hit.  2014-15, 2015-16, 2016-17 and 2017-18 each include $183,333 in likely incentives.  Extension signed on October 19, 2013 for an assumed $46,950,000 plus incentives for 4 years starting in 2014-15.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2011-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2011-2014","http://www.basketball-reference.com/players/f/favorde01.html","12/7/13 15:54",-84.3879824,33.7489954,-84.3879824,33.7489954
"15","ginobma01","Emanuel David Ginobili","@manuginobili","Bahia Blanca, Argentina","Shooting Guard","6'6",78,6,6,210,"Left","","","San Antonio Spurs","2nd round 28th pick 57th overall",57,2,28,"10/29/02","11 years",11,"7/28/77",1977,36,"36y 0m 132d 0H 0M 0S","Bahia Blanca","","Argentina","","","","20","Signed July 11, 2013 for an assumed $14,500,000 for 2 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2003-2014","http://www.basketball-reference.com/players/g/ginobma01.html","12/7/13 15:54",NA,NA,-62.2680778,-38.7116776
"16","bullore01","Reginald Ryedell Bullock","","Baltimore, Maryland","Small Forward","6'7",79,6,7,205,"Right","University of North Carolina","Kinston","Los Angeles Clippers","1st round 25th pick 25th overall",25,1,25,NA,"Rookie",0,"3/16/91",1991,22,"22y 0m 266d 12H 0M 0S","Baltimore","Maryland","USA","Kinston, North Carolina","Kinston","North Carolina","25","Signed July 8, 2013.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2014","http://www.basketball-reference.com/players/b/bullore01.html","12/7/13 15:54",-77.5816353,35.2626635,-76.6121893,39.2903848
"17","bartowi01","William Denard Barton","@WillTheThrillB5","Baltimore, Maryland","Shooting Guard","6'6",78,6,6,174,"Right","University of Memphis","Brewster Academy","Portland Trail Blazers","2nd round 10th pick 40th overall",40,2,10,"11/2/12","1 year",1,"1/6/91",1991,22,"22y 0m 335d 12H 0M 0S","Baltimore","Maryland","USA","Wolfeboro, New Hampshire","Wolfeboro","New Hampshire","5","Signed July 13, 2012 for an assumed $2,254,115 for 3 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2013-2014","http://www.basketball-reference.com/players/b/bartowi01.html","12/7/13 15:54",-71.2094799,43.5852069,-76.6121893,39.2903848
"18","gayru01","Rudy Carlton Gay Jr.","@rudygay22","Baltimore, Maryland","Small Forward","6'9",81,6,9,220,"Right","University of Connecticut","Archbishop Spalding","Houston Rockets","1st round 8th pick 8th overall",8,1,8,"11/1/06","7 years",7,"8/17/86",1986,27,"27y 0m 112d 6H 0M 0S","Baltimore","Maryland","USA","Severn, Maryland","Severn","Maryland","22;22","Signed July 8, 2010 for an assumed $82,302,688 for 5 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2007-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2013-2014","http://www.basketball-reference.com/players/g/gayru01.html","12/7/13 15:54",-76.6983022,39.1370528,-76.6121893,39.2903848
"19","nealga01","Gary Neal","@GNeal14","Baltimore, Maryland","Shooting Guard","6'4",76,6,4,210,"Right","Towson University","Aberdeen","","",NA,NA,NA,"10/27/10","3 years",3,"10/3/84",1984,29,"29y 0m 64d 18H 0M 0S","Baltimore","Maryland","USA","Aberdeen, Maryland","Aberdeen","Maryland","14;12","Signed July 30, 2013 for an assumed $6,500,000 for 2 years.  Contract contains unlikley incentives not included in Cap Hit.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2011-2013-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2014","http://www.basketball-reference.com/players/n/nealga01.html","12/7/13 15:54",-76.1641197,39.5095556,-76.6121893,39.2903848
"20","simshe01","Henry Sims","","Baltimore, Maryland","Center","6'10",82,6,10,245,"Right","Georgetown University","Mount Saint Joseph","","",NA,NA,NA,"3/4/13","1 year",1,"3/27/90",1990,23,"23y 0m 255d 6H 0M 0S","Baltimore","Maryland","USA","Baltimore, Maryland","Baltimore","Maryland","20;14","Signed September 30, 2013 for an assumed minimum salary for 2 years.  2014-15 is not fully guaranteed.  2013-14 is partially guaranteed for $50,000.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2013-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2014","http://www.basketball-reference.com/players/s/simshe01.html","12/7/13 15:54",-76.6121893,39.2903848,-76.6121893,39.2903848
"21","rubiori01","Ricard Rubio","@rickyrubio9","Barcelona, Spain","Point Guard","6'4",76,6,4,180,"Right","","","Minnesota Timberwolves","1st round 5th pick 5th overall",5,1,5,"12/26/11","2 years",2,"10/21/90",1990,23,"23y 0m 47d 6H 0M 0S","Barcelona","","Spain","","","","9","Signed May 31, 2011 for an assumed 120% of rookie scale.  Team Option for 2013-14 picked up on October 30, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2012-2014","http://www.basketball-reference.com/players/r/rubiori01.html","12/7/13 15:54",NA,NA,2.1734035,41.3850639
"22","gasolpa01","Pau Gasol","","Barcelona, Spain","Center-Power Forward","7'0",84,7,0,227,"Right","","","Atlanta Hawks","1st round 3rd pick 3rd overall",3,1,3,"11/1/01","12 years",12,"7/6/80",1980,33,"33y 0m 153d 18H 0M 0S","Barcelona","","Spain","","","","16;16;16","Signed extension on December 23, 2009 for an assumed $57,000,000 for 3 years starting in 2011-12.  Contract has a 15% trade kicker.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#40e0d0;-Memphis Grizzlies, 2002-2004-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2005-2008-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2008-2014","http://www.basketball-reference.com/players/g/gasolpa01.html","12/7/13 15:54",NA,NA,2.1734035,41.3850639
"23","gasolma01","Marc Gasol","@MarcGasol","Barcelona, Spain","Center","7'1",85,7,1,265,"Right","","","Los Angeles Lakers","2nd round 18th pick 48th overall",48,2,18,"10/29/08","5 years",5,"1/29/85",1985,28,"28y 0m 312d 0H 0M 0S","Barcelona","","Spain","","","","33","Signed December 12, 2011 for an assumed $57,503,764 for 4 years.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2009-2014","http://www.basketball-reference.com/players/g/gasolma01.html","12/7/13 15:54",NA,NA,2.1734035,41.3850639
"24","templga01","Garrett Bartholomew Temple","@GTemp14","Baton Rouge, Louisiana","Shooting Guard-Point Guard","6'6",78,6,6,190,"Right","Louisiana State University","Louisiana State University Laboratory School","","",NA,NA,NA,"2/9/10","3 years",3,"5/8/86",1986,27,"27y 0m 213d 6H 0M 0S","Baton Rouge","Louisiana","USA","Baton Rouge, Louisiana","Baton Rouge","Louisiana","2;17;2;41;41;17","Signed July 10, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2010-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2010-2011-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2011-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2013-2014","http://www.basketball-reference.com/players/t/templga01.html","12/7/13 15:54",-91.1403196,30.4582829,-91.1403196,30.4582829
"25","davisgl01","Ronald Glen Davis","@iambigbaby11","Baton Rouge, Louisiana","Power Forward-Center","6'9",81,6,9,289,"Right","Louisiana State University","Louisiana State University Laboratory School","Seattle SuperSonics","2nd round 5th pick 35th overall",35,2,5,"11/2/07","6 years",6,"1/1/86",1986,27,"27y 0m 340d 6H 0M 0S","Baton Rouge","Louisiana","USA","Baton Rouge, Louisiana","Baton Rouge","Louisiana","11;11","Signed December 12, 2011 for an assumed $25,700,000 for 4 years.","poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2008-2011-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2012-2014","http://www.basketball-reference.com/players/d/davisgl01.html","12/7/13 15:54",-91.1403196,30.4582829,-91.1403196,30.4582829
"26","bassbr01","Brandon Sam Bass","","Baton Rouge, Louisiana","Power Forward-Center","6'8",80,6,8,240,"Right","Louisiana State University","Capitol","New Orleans Hornets","2nd round 3rd pick 33rd overall",33,2,3,"11/1/05","8 years",8,"4/30/85",1985,28,"28y 0m 221d 0H 0M 0S","Baton Rouge","Louisiana","USA","Baton Rouge, Louisiana","Baton Rouge","Louisiana","33;32;30;30","Signed July 14, 2012 for an assumed $19,350,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#008080;border-color:#800080;-New Orleans/Oklahoma City Hornets, 2006-2007-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2008-2009-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2010-2011-poptip uni_square-color:#008000;background-color:#ffffff;border-color:#008000;-Boston Celtics, 2012-2014","http://www.basketball-reference.com/players/b/bassbr01.html","12/7/13 15:54",-91.1403196,30.4582829,-91.1403196,30.4582829
"27","sacrero01","Robert Gregory Sacre","","Baton Rouge, Louisiana","Center","7'0",84,7,0,263,"Right","Gonzaga University","Handsworth Secondary School","Los Angeles Lakers","2nd round 30th pick 60th overall",60,2,30,"10/31/12","1 year",1,"6/6/89",1989,24,"24y 0m 184d 0H 0M 0S","Baton Rouge","Louisiana","USA","Vancouver Canada, ","Vancouver Canada","","50","Signed July 10, 2013 for an assumed minimum salary for 3 years.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2013-2014","http://www.basketball-reference.com/players/s/sacrero01.html","12/7/13 15:54",-123.1139268,49.261226,-91.1403196,30.4582829
"28","thornma01","Marcus Terrell Thornton","@OfficialMT23","Baton Rouge, Louisiana","Shooting Guard","6'4",76,6,4,205,"Right","Louisiana State University","Tara","Miami Heat","2nd round 13th pick 43rd overall",43,2,13,"11/6/09","4 years",4,"6/5/87",1987,26,"26y 0m 185d 12H 0M 0S","Baton Rouge","Louisiana","USA","Baton Rouge, Louisiana","Baton Rouge","Louisiana","5;23","Signed December 9, 2011 for an assumed $31,150,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2010-2011-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2011-2014","http://www.basketball-reference.com/players/t/thornma01.html","12/7/13 15:54",-91.1403196,30.4582829,-91.1403196,30.4582829
"29","shvedal01","Alexey Viktorovich Shved","","Belgorod, Russia","Shooting Guard","6'6",78,6,6,190,"Right","","","","",NA,NA,NA,"11/2/12","1 year",1,"12/16/88",1988,24,"24y 0m 356d 0H 0M 0S","Belgorod","","Russia","","","","1","Signed July 23, 2012 for an assumed $9,450,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2013-2014","http://www.basketball-reference.com/players/s/shvedal01.html","12/7/13 15:54",NA,NA,36.5982621,50.5997134
"30","radulmi01","Miroslav Raduljica","","Belgrade, Serbia","Center","7'0",84,7,0,250,"Right","","","","",NA,NA,NA,"11/12/13","Rookie",0,"1/5/88",1988,25,"25y 0m 336d 18H 0M 0S","Belgrade","","Serbia","","","","9","","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2014","http://www.basketball-reference.com/players/r/radulmi01.html","12/7/13 15:54",NA,NA,20.4622222,44.8205556
"31","willide02","Derrick Williams","@RealDwill7","Bellflower, California","Power Forward-Small Forward","6'8",80,6,8,241,"Right","University of Arizona","La Mirada","Minnesota Timberwolves","1st round 2nd pick 2nd overall",2,1,2,"12/26/11","2 years",2,"5/25/91",1991,22,"22y 0m 196d 12H 0M 0S","Bellflower","California","USA","La Mirada, California","La Mirada","California","7;13","Signed December 12, 2011.  Team Option for 2013-14 picked up on October 30, 2012.  Team Option for 2014-15 picked up on October 25, 2013.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2012-2014-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2014","http://www.basketball-reference.com/players/w/willide02.html","12/7/13 15:54",-118.0120086,33.9172357,-118.1170117,33.8816818
"32","chandwi01","Wilson Jamall Chandler","@wilsonchandler","Benton Harbor, Michigan","Small Forward-Shooting Guard-Power Forward","6'8",80,6,8,220,"Right","DePaul University","Benton Harbor","New York Knicks","1st round 23rd pick 23rd overall",23,1,23,"11/13/07","6 years",6,"5/10/87",1987,26,"26y 0m 211d 12H 0M 0S","Benton Harbor","Michigan","USA","Benton Harbor, Michigan","Benton Harbor","Michigan","21;21","Signed March 18, 2012 for an assumed $31,720,818 for 5 years.  2015-16 is partially guaranteed for $2,000,000.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2008-2011-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2011-2014","http://www.basketball-reference.com/players/c/chandwi01.html","12/7/13 15:54",-86.4541894,42.1167065,-86.4541894,42.1167065
"33","pekovni01","Nikola Pekovic","","Bijelo Polje, Montenegro","Center","6'11",83,6,11,243,"Right","","","Minnesota Timberwolves","2nd round 1st pick 31st overall",31,2,1,"10/27/10","3 years",3,"1/3/86",1986,27,"27y 0m 338d 6H 0M 0S","Bijelo Polje","","Montenegro","","","","14","Signed August 15, 2013 for an assumed $60,000,000 for 5 years.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2011-2014","http://www.basketball-reference.com/players/p/pekovni01.html","12/7/13 15:54",NA,NA,19.747931,43.037708
